Mapa,Local,Descrição,Recursos/Perigos,NPC(s),Missões
Mapa 1,Vilarejo de Esmir,"Um pequeno vilarejo cercado por florestas densas. Casas de madeira, uma taverna, e uma pequena loja compõem o lugar.","Recursos: madeira, plantas medicinais. Perigos: lobos na floresta próxima.",Taverna: Dona Alícia; Loja: Ferreiro Miguel,Missão 1: Recolher ervas medicinais para a cura da filha do Ferreiro Miguel.
Mapa 2,Ruínas Antigas,"Ruínas de uma civilização antiga, cobertas de musgo e parcialmente submersas na floresta.","Recursos: Relíquias antigas, materiais de construção antigos. Perigos: Armadilhas antigas, criaturas mágicas adormecidas.",Não habitado,Missão 2: Investigar as ruínas e recuperar um artefato mágico para um colecionador.
Mapa 3,Montanhas de Ferro,Uma cadeia de montanhas conhecida por seus depósitos de minério de ferro.,"Recursos: Minério de ferro, cristais raros. Perigos: Quedas de rochas, trolls das montanhas.","Mineiros locais, líder: Foreman Grumm",Missão 3: Ajudar os mineiros a expulsar os trolls das montanhas.
Mapa 4,Floresta Sombria,"Uma floresta densa e escura, onde a luz mal penetra através das densas folhagens.","Recursos: Ervas venenosas, madeira de qualidade. Perigos: Aranhas gigantes, espíritos da floresta.","Ermitão da Floresta, Druida Selvagem",Missão 4: Descobrir a causa do escurecimento da floresta e restaurar seu equilíbrio.
Mapa 5,Cavernas do Abismo,"Um complexo de cavernas profundas e sinuosas, repletas de estalactites e estalagmites afiadas.","Recursos: Pedras preciosas, fungos raros. Perigos: Abismos sem fundo, criaturas das trevas.",Grupo de aventureiros perdidos,Missão 5: Resgatar o grupo de aventureiros perdidos nas cavernas.
Mapa 6,Porto de Maré,"Um movimentado porto marítimo, cheio de navios de todos os tamanhos e cores.","Recursos: Peixes frescos, materiais de comércio marítimo. Perigos: Piratas, tempestades.","Capitão Barba Negra, Mercador Rico",Missão 6: Escoltar um carregamento de mercadorias até o próximo porto.
Mapa 7,Planícies de Dorn,Amplas planícies onde pastam manadas de bisões e cavalos selvagens.,"Recursos: Couro, carne, cavalos selvagens. Perigos: Bandos de bandidos, tempestades de areia.","Líder da tribo bárbara, Caçador Solitário",Missão 7: Unir as tribos bárbaras contra a ameaça dos bandidos.
Mapa 8,Ilha dos Náufragos,"Uma ilha isolada, coberta por palmeiras e praias de areia branca.","Recursos: Frutas tropicais, madeira de palmeira. Perigos: Canibais, animais selvagens.","Náufrago Solitário, Xamã da Tribo Canibal",Missão 8: Escapar da ilha ou derrotar o Xamã e sua tribo para sobreviver.
Mapa 9,Torre dos Magos,"Uma torre alta e imponente, onde os magos se reúnem para estudar e praticar magia.","Recursos: Livros antigos, ingredientes alquímicos. Perigos: Experimentos mágicos instáveis, sentinelas mágicas.","Mago Ancião, Aprendiz Curioso",Missão 9: Encontrar um livro de magia perdido nas profundezas da torre.
Mapa 10,Fortaleza Negra,"Uma fortaleza antiga e abandonada, agora lar de criaturas das trevas e mortos-vivos.","Recursos: Tesouros antigos, armaduras e armas enferrujadas. Perigos: Mortos-vivos, fantasmas.","Lorde das Trevas, Fantasma do General",Missão 10: Purificar a Fortaleza Negra e libertá-la da influência das trevas.
